名称,说明,焊盘,封装,引脚,数量,
10uF,desc,"C3,C2,C1,",CP_EIA-3528-21_Kemet-B,2,3,
100nF,desc,"C4,",C_0603_1608Metric,2,1,
470Ω,desc,"R4,R3,R1,",R_0603_1608Metric,2,3,
4.7k,desc,"R5,R2,",R_0603_1608Metric,2,2,
ESP-12S,desc,"U1,",ESP-12S,17,1,
NCP1117-3.3_SOT223,desc,"U2,",SOT-223-3_TabPin2,4,1,
CH330N,desc,"U4,",SOIC-8_3.9x4.9mm_P1.27mm,8,1,
KEY_Flash,desc,"Flash,",Panasonic_EVQPUL_EVQPUC,6,1,
KEY_RST,desc,"RST,",Panasonic_EVQPUL_EVQPUC,6,1,
USB_C_Receptacle_USB2.0,desc,"Type-C,",USB_C_Receptacle_XKB_U262-16XN-4BVC11,22,1,
Conn_VFD,desc,"VFD,",PinSocket_1x07_P2.54mm_Vertical,7,1,
DHT11,desc,"DHT11,",Aosong_DHT11_5.5x12.0_P2.54mm,4,1,
,,,,,,
VFD 模块,8-MD-06INKM,,,7,1,https://item.taobao.com/item.htm?id=597649622906
双通圆形滚花铜柱,M2*12,,,,4,
304不锈钢圆头螺丝,M2*6,,,,8,
